Drug,IUPAC_Name,MolecularFormula
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,"1-[(3R,5S,8R,9S,10S,13S,14S,17S)-3-hydroxy-3,10,13-trimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]ethanone",C22H36O2
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,"2-[3-(2-cyanopropan-2-yl)-5-(1,2,4-triazol-1-ylmethyl)phenyl]-2-methylpropanenitrile",C17H19N5
CC(C)(C(=O)O)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,2-[4-[(1S)-1-hydroxy-4-[4-[hydroxy(diphenyl)methyl]piperidin-1-yl]butyl]phenyl]-2-methylpropanoic acid,C32H39NO4
CC(C)(C(=O)c1cccnc1)c1cccnc1,"2-methyl-1,2-dipyridin-3-ylpropan-1-one",C14H14N2O
CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,"1-tert-butyl-4,4-diphenylpiperidine",C21H27N
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-(tert-butylcarbamoyl)-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-(quinoline-2-carbonylamino)butanediamide",C38H50N6O5
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,"(2S)-1-[(2S,4R)-4-benzyl-2-hydroxy-5-[[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]amino]-5-oxopentyl]-N-tert-butyl-4-(pyridin-3-ylmethyl)piperazine-2-carboxamide",C36H47N5O4
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,"(1S,3aS,3bS,5aR,9aR,9bS,11aS)-N-tert-butyl-9a,11a-dimethyl-7-oxo-1,2,3,3a,3b,4,5,5a,6,9b,10,11-dodecahydroindeno[5,4-f]quinoline-1-carboxamide",C23H36N2O2
CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,4-[(1S)-2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol,C13H21NO3
CC(C)(C)NC[C@H](O)COc1cccc2c1CCC(=O)N2,"5-[(2S)-3-(tert-butylamino)-2-hydroxypropoxy]-3,4-dihydro-1H-quinolin-2-one",C16H24N2O3
CC(C)(C)NC[C@H](O)COc1ccccc1C#N,2-[(2S)-3-(tert-butylamino)-2-hydroxypropoxy]benzonitrile,C14H20N2O2
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,(2S)-1-(tert-butylamino)-3-(2-cyclopentylphenoxy)propan-2-ol,C18H29NO2
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,"(2S)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol",C13H24N4O3S
CC(C)(C)[C@@H](O)/C=C\c1ccc2c(c1)OCO2,"(Z,3S)-1-(1,3-benzodioxol-5-yl)-4,4-dimethylpent-1-en-3-ol",C14H18O3
CC(C)(C)c1cc(C[C@H]2SCNC2=O)cc(C(C)(C)C)c1O,"(5R)-5-[(3,5-ditert-butyl-4-hydroxyphenyl)methyl]-1,3-thiazolidin-4-one",C18H27NO2S
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,4-(4-benzhydryloxypiperidin-1-yl)-1-(4-tert-butylphenyl)butan-1-one,C32H39NO2
CC(C)(C)c1ccc([C@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,(1R)-1-(4-tert-butylphenyl)-4-[4-[hydroxy(diphenyl)methyl]piperidin-1-yl]butan-1-ol,C32H41NO2
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,2-[4-[2-[(4-chlorobenzoyl)amino]ethyl]phenoxy]-2-methylpropanoic acid,C19H20ClNO4
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C\c2ccc3ccc(Cl)cc3n2)c1,2-[1-[[(1R)-1-[3-[(Z)-2-(7-chloroquinolin-2-yl)ethenyl]phenyl]-3-[2-(2-hydroxypropan-2-yl)phenyl]propyl]sulfanylmethyl]cyclopropyl]acetic acid,C35H36ClNO3S
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,2-(4-chlorophenoxy)-2-methylpropanoic acid,C10H11ClO3
CC(C)(Oc1ccc([C@@H]2CC2(Cl)Cl)cc1)C(=O)O,"2-[4-[(1S)-2,2-dichlorocyclopropyl]phenoxy]-2-methylpropanoic acid",C13H14Cl2O3
CC(C)/N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,"N,5-bis(4-chlorophenyl)-3-propan-2-yliminophenazin-2-amine",C27H22Cl2N4
CC(C)/N=C(N)\N=C(/N)Nc1ccc(Cl)cc1,1-[amino-(4-chloroanilino)methylidene]-2-propan-2-ylguanidine,C11H16ClN5
CC(C)=O,propan-2-one,C3H6O
CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,"(1S,9S,13S)-1,13-dimethyl-10-(3-methylbut-2-enyl)-10-azatricyclo[7.3.1.02,7]trideca-2(7),3,5-trien-4-ol",C19H27NO
CC(C)C1CCC(C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,(2R)-3-phenyl-2-[(4-propan-2-ylcyclohexanecarbonyl)amino]propanoic acid,C19H27NO3
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,C11H11F3N2O3
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,"[(3S)-oxolan-3-yl] N-[(2S,3R)-4-[(4-aminophenyl)sulfonyl-(2-methylpropyl)amino]-3-hydroxy-1-phenylbutan-2-yl]carbamate",C25H35N3O6S
CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1,N-benzyl-N-[(2R)-3-(2-methylpropoxy)-2-pyrrolidin-1-ylpropyl]aniline,C24H34N2O
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,[(1S)-3-methyl-1-[[(2R)-3-phenyl-2-(pyrazine-2-carbonylamino)propanoyl]amino]butyl]boronic acid,C19H25BN4O4
CC(C)C[C@H](N(C)C)C1(c2ccc(Cl)cc2)CCC1,"(1S)-1-[1-(4-chlorophenyl)cyclobutyl]-N,N,3-trimethylbutan-1-amine",C17H26ClN
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,"(6aR,9R)-5-bromo-N-[(1S,2S,4R,7S)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",C32H40BrN5O5
CC(C)Cn1cnc2c(N)nc3ccccc3c21,"1-(2-methylpropyl)imidazo[4,5-c]quinolin-4-amine",C14H16N4
CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,(2R)-2-[4-(2-methylpropyl)phenyl]propanoic acid,C13H18O2
CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,(2R)-4-[di(propan-2-yl)amino]-2-phenyl-2-pyridin-2-ylbutanamide,C21H29N3O
CC(C)NC[C@@H]1CCc2cc(CO)c([N+](=O)[O-])cc2N1,"[(2S)-7-nitro-2-[(propan-2-ylamino)methyl]-1,2,3,4-tetrahydroquinolin-6-yl]methanol",C14H21N3O3
CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,(2S)-1-[4-[2-(cyclopropylmethoxy)ethyl]phenoxy]-3-(propan-2-ylamino)propan-2-ol,C18H29NO3
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,(2S)-1-(1H-indol-4-yloxy)-3-(propan-2-ylamino)propan-2-ol,C14H20N2O2
CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1,(2S)-1-(propan-2-ylamino)-3-[4-(2-propan-2-yloxyethoxymethyl)phenoxy]propan-2-ol,C18H31NO4
CC(C)NC[C@H](O)COc1cccc2ccccc12,(2S)-1-naphthalen-1-yloxy-3-(propan-2-ylamino)propan-2-ol,C16H21NO2
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,N-[2-[4-[3-(propan-2-ylamino)-2-pyridinyl]piperazine-1-carbonyl]-1H-indol-5-yl]methanesulfonamide,C22H28N6O3S
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,propan-2-yl 2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoate,C20H21ClO4
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,3-phenyl-7-propan-2-yloxychromen-4-one,C18H16O3
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,"(3R,5R)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid",C33H35FN2O5
CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,"[2,6-di(propan-2-yl)phenyl] N-[2-[2,4,6-tri(propan-2-yl)phenyl]acetyl]sulfamate",C29H43NO4S
CC(C)c1cccc(C(C)C)c1O,"2,6-di(propan-2-yl)phenol",C12H18O
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,"1,3-thiazol-5-ylmethyl N-[(2S,3S,5S)-3-hydroxy-5-[[(2S)-3-methyl-2-[[methyl-[(2-propan-2-yl-1,3-thiazol-4-yl)methyl]carbamoyl]amino]butanoyl]amino]-1,6-diphenylhexan-2-yl]carbamate",C37H48N6O5S2
CC(C)c1nc(COC(N)=O)n(Cc2ccncc2)c1Sc1cc(Cl)cc(Cl)c1,"[5-(3,5-dichlorophenyl)sulfanyl-4-propan-2-yl-1-(pyridin-4-ylmethyl)imidazol-2-yl]methyl carbamate",C20H20Cl2N4O2S
CC(C)n1c(/C=C\[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,"(Z,3R,5S)-7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoic acid",C24H26FNO4
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1CC[C@@H](O)C[C@@H](O)CC(=O)O,"(3R,5R)-7-[4-(4-fluorophenyl)-2-[methyl(methylsulfonyl)amino]-6-propan-2-ylpyrimidin-5-yl]-3,5-dihydroxyheptanoic acid",C22H30FN3O6S
CC/C(=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1,4-[(Z)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol,C18H20O2
CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,"2-[4-[(E)-1,2-diphenylbut-1-enyl]phenoxy]-N,N-dimethylethanamine",C26H29NO
CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,"4,4-dimethyl-1-[4-(4-pyrimidin-2-ylpiperazin-1-yl)butyl]piperidine-2,6-dione",C19H29N5O2
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,"5,5-dimethyl-3-[4-nitro-3-(trifluoromethyl)phenyl]imidazolidine-2,4-dione",C12H10F3N3O4
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,"[(1R,2S,6S,9R)-4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[7.3.0.02,6]dodecan-6-yl]methyl sulfamate",C12H21NO8S
CC1=C(/C=C\C(C)=C/C=C\C(C)=C/C(=O)O)C(C)(C)CCC1,"(2Z,4Z,6Z,8Z)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",C20H28O2
CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)[C@H](c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1,"2-(N-benzylanilino)ethyl (4S)-5-(5,5-dimethyl-2-oxo-1,3,2lambda5-dioxaphosphinan-2-yl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylate",C34H38N3O7P
CC1=C(C)C(=O)C([C@@H](CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,"(7S)-7-phenyl-7-(2,4,5-trimethyl-3,6-dioxocyclohexa-1,4-dien-1-yl)heptanoic acid",C22H26O4
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S@@H](C)=O)cc1,N/A,C20H18FO3S
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,N-[4-(methoxymethyl)-1-(2-thiophen-2-ylethyl)piperidin-4-yl]-N-phenylpropanamide,C22H30N2O2S
CC1=CC(=O)C=C2CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]3[C@@]12C,"(8R,9S,10S,13S,14S)-1,10,13-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-3,17-dione",C20H26O2
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,N-[1-[2-(4-ethyl-5-oxotetrazol-1-yl)ethyl]-4-(methoxymethyl)piperidin-4-yl]-N-phenylpropanamide,C21H32N6O3
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,N-phenyl-N-[1-(2-phenylethyl)piperidin-4-yl]propanamide,C22H28N2O
CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,"N-[4-(5-methyl-3-phenyl-1,2-oxazol-4-yl)phenyl]sulfonylpropanamide",C19H18N2O4S
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,"[(2S,3R)-4-(dimethylamino)-3-methyl-1,2-diphenylbutan-2-yl] propanoate",C22H29NO2
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,"[(6S,8S,9R,10S,11S,13S,14S,16R,17R)-6,9-difluoro-17-(fluoromethylsulfanylcarbonyl)-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] propanoate",C25H31F3O5S
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,"[(1S,3R,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2,2-dimethylbutanoate",C25H38O5
CCC(C)(C)NC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1,1-[2-[(2S)-2-hydroxy-3-(2-methylbutan-2-ylamino)propoxy]phenyl]-3-phenylpropan-1-one,C23H31NO3
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,"5-ethyl-5-phenyl-1,3-diazinane-2,4,6-trione",C12H12N2O3
CCC1(c2ccccc2)C(=O)NCNC1=O,"5-ethyl-5-phenyl-1,3-diazinane-4,6-dione",C12H14N2O2
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,4-ethyl-3-methyl-N-[2-[4-[(4-methylcyclohexyl)carbamoylsulfamoyl]phenyl]ethyl]-5-oxo-2H-pyrrole-1-carboxamide,C24H34N4O5S
