Drug,MolWt,ExactMolWt,MolLogP,TPSA,MolMR,FractionCSP3,qed,HeavyAtomCount,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FormalCharge,NumHeteroatoms,LabuteASA,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,NumAromaticAtoms,FractionAromaticAtoms,NumPositiveCharges,NumNegativeCharges,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumSaturatedHeterocycles,NumAmideBonds,BertzCT,BalabanJ,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters
C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,666.91,666.39,5.48,46.94,198.42,0.4545,0.3172,50,2,4,6,11,2,2,6,296.02,0.392,0.103,10.456,0.018,12,0.24,2,0,9,6,7,0,7,4,0,1852.176,1.219,729063483964.368,-3.68,29.993,10.006,3.236,10,0
C=CCc1ccccc1OCC(O)CNC(C)C,249.35,249.17,2.15,41.49,74.98,0.4667,0.6937,18,2,3,8,1,1,0,3,109.48,0.491,0.122,9.773,-0.496,6,0.3333,0,0,0,0,0,0,0,0,0,363.266,2.444,9693.952,-1.32,14.74,7.901,5.341,1,1
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,324.42,324.18,3.17,45.59,95.03,0.45,0.8776,24,1,4,4,5,2,0,4,142.31,0.497,0.119,11.152,-0.504,10,0.4167,0,0,3,3,4,1,3,3,0,760.387,1.687,512499.659,-1.91,15.608,6.188,2.502,5,1
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,324.42,324.18,3.17,45.59,95.03,0.45,0.8776,24,1,4,4,5,2,0,4,142.31,0.497,0.119,11.152,-0.504,10,0.4167,0,0,3,3,4,1,3,3,0,760.387,1.687,512499.659,-1.91,15.608,6.188,2.502,5,1
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,360.49,360.23,3.54,77.76,102.28,0.6818,0.3514,26,3,3,8,2,0,0,4,156.56,0.481,0.303,10.583,-0.738,0,0.0,0,0,2,2,0,0,0,0,0,594.999,1.894,626729.393,-1.57,20.738,9.944,5.722,6,1
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,429.6,429.27,5.41,40.54,129.43,0.5517,0.6395,32,1,3,2,5,1,0,3,192.14,0.378,0.156,12.17,-0.914,6,0.1875,0,0,4,2,0,0,0,0,0,1066.614,1.669,20203271.62,-2.31,21.531,7.631,3.106,5,0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,308.33,308.1,3.61,67.51,87.73,0.1579,0.7476,23,1,4,4,3,3,0,4,132.55,0.507,0.343,12.412,-0.615,16,0.6957,0,0,0,0,1,1,0,0,0,909.551,2.258,187785.023,-2.88,15.033,6.085,2.879,1,1
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,278.31,278.14,0.19,78.89,74.75,0.5385,0.7315,20,0,7,5,2,2,0,7,115.02,0.332,0.328,12.333,-0.371,9,0.45,0,0,0,0,2,2,0,0,0,766.24,2.382,31844.73,-2.18,14.234,5.439,2.429,0,0
CC(=O)NCCCS(=O)(=O)O,181.21,181.04,-0.6,83.47,39.72,0.8,0.4478,11,2,3,4,0,0,0,6,65.54,0.356,0.264,10.245,-3.873,0,0.0,0,0,0,0,0,0,0,0,1,220.637,3.369,147.425,-0.62,10.38,4.298,9.38,0,0
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,337.35,337.14,1.12,71.11,85.73,0.5,0.8916,24,1,5,4,3,1,0,8,138.85,0.442,0.414,14.448,-0.538,6,0.25,0,0,2,2,2,0,2,2,2,633.749,1.692,354672.958,-2.35,16.506,7.042,3.587,1,0
CC(=O)N[C@@H](CS)C(=O)O,163.2,163.03,-0.49,66.4,39.09,0.6,0.4915,10,3,3,3,0,0,0,5,64.02,0.48,0.327,10.309,-1.065,0,0.0,0,0,0,0,0,0,0,0,1,147.828,3.833,112.493,-0.71,9.29,4.161,3.342,1,0
CC(=O)N[C@@H]1[C@@H](N=C(N)N)C=C(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO,332.31,332.13,-3.79,200.72,76.89,0.5833,0.188,23,7,7,6,1,0,0,11,130.8,0.478,0.37,11.358,-1.698,0,0.0,0,0,1,0,1,0,1,0,1,517.539,3.279,66364.551,-2.37,18.678,7.76,4.806,5,0
CC(=O)Nc1ccc(O)cc1,151.16,151.06,1.35,49.33,42.41,0.125,0.595,11,2,2,1,1,1,0,3,64.67,0.508,0.221,10.524,-0.115,6,0.5455,0,0,0,0,0,0,0,0,1,253.299,2.736,285.511,-1.51,7.595,3.053,2.292,0,0
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,266.34,266.16,1.38,70.59,75.39,0.5,0.6971,19,3,4,7,1,1,0,5,113.52,0.491,0.221,10.858,-0.544,6,0.3158,0,0,0,0,0,0,0,0,1,390.182,2.346,13068.205,-1.59,15.467,7.759,6.785,1,1
CC(=O)Nc1nnc(S(N)(=O)=O)s1,222.25,221.99,-0.86,115.04,45.59,0.25,0.6319,13,2,6,2,1,1,0,9,78.02,0.301,0.267,10.705,-3.824,5,0.3846,0,0,0,0,1,1,0,0,1,422.352,2.939,682.127,-1.06,10.024,3.358,2.717,0,0
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,321.34,321.14,0.54,122.22,81.11,0.5,0.7331,23,1,9,7,2,2,0,9,132.37,0.465,0.302,10.956,-0.369,9,0.3913,0,0,0,0,2,2,0,0,0,681.532,2.01,144286.08,-2.71,16.657,7.522,4.904,0,0
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1,339.33,339.05,-0.8,136.8,76.55,0.4615,0.4906,23,2,7,5,2,0,0,10,134.8,0.477,0.352,12.144,-1.299,0,0.0,0,0,2,1,2,0,2,1,2,652.586,2.164,92067.487,-2.54,16.824,6.7,3.291,2,0
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1,557.84,557.43,5.97,55.84,156.37,0.9412,0.3151,40,0,5,4,6,0,1,6,243.03,0.461,0.303,12.495,-0.111,0,0.0,1,0,6,6,2,0,2,2,0,957.588,1.289,1012586911.668,-1.14,28.955,10.848,4.85,10,0
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,572.88,572.45,6.11,52.6,160.72,0.9429,0.3013,41,0,4,4,6,0,2,6,249.6,0.456,0.303,12.528,-0.1,0,0.0,2,0,6,6,2,0,2,2,0,1002.132,1.306,1356211455.625,-1.14,29.911,10.787,4.99,10,0
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,416.58,416.2,4.85,60.44,112.21,0.7917,0.5718,29,0,5,1,5,0,0,5,177.14,0.458,0.306,12.185,-0.287,0,0.0,0,0,5,4,1,0,1,1,0,817.698,1.557,4382705.738,-1.1,19.839,6.448,2.679,7,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,314.47,314.22,4.72,34.14,90.88,0.8095,0.7013,23,0,2,1,4,0,0,2,139.65,0.3,0.155,12.147,0.245,0,0.0,0,0,4,3,0,0,0,0,0,588.649,1.67,209150.769,-0.92,15.599,5.037,2.057,6,0
CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,497.5,497.17,1.02,176.61,123.79,0.4231,0.3283,36,5,10,3,5,2,0,10,205.81,0.507,0.198,13.33,-1.975,12,0.3333,0,0,3,1,1,0,1,1,0,1292.805,1.665,88433172.986,-3.15,24.54,8.462,3.562,6,0
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,244.26,244.09,3.68,37.3,67.89,0.1333,0.8938,18,1,1,3,2,2,0,3,104.7,0.481,0.31,13.967,-0.957,12,0.6667,0,0,0,0,0,0,0,0,0,563.961,2.401,12990.198,-2.16,12.301,5.001,2.399,1,1
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,260.31,260.05,3.17,54.37,70.24,0.1429,0.859,18,1,3,4,2,2,0,4,108.71,0.481,0.31,12.017,-0.868,11,0.6111,0,0,0,0,1,1,0,0,0,555.235,2.228,17348.913,-1.94,12.515,5.143,2.486,1,1
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,254.28,254.09,3.11,54.37,72.37,0.125,0.8528,19,1,2,4,2,2,0,3,111.07,0.481,0.31,12.244,-0.899,12,0.6316,0,0,0,0,0,0,0,0,0,602.401,2.34,22591.317,-2.42,13.022,5.482,2.881,1,1
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,242.27,242.09,3.67,46.53,69.01,0.1333,0.8894,18,1,2,4,2,2,0,3,105.65,0.481,0.31,10.929,-0.841,12,0.6667,0,0,0,0,0,0,0,0,0,534.445,2.2,14082.716,-2.29,12.174,5.361,2.884,1,1
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,293.37,293.16,2.93,78.29,82.84,0.4118,0.8679,22,0,5,4,2,2,0,5,130.39,0.249,0.137,9.403,-0.612,11,0.5,0,0,0,0,1,1,0,0,0,698.092,2.548,84222.037,-2.66,15.724,5.614,3.15,0,0
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,501.67,501.29,5.51,81.0,146.34,0.4062,0.3413,37,3,4,10,4,3,0,5,219.95,0.481,0.313,12.056,-1.008,18,0.4865,0,0,1,1,1,0,1,1,0,1096.925,1.311,195844207.087,-2.99,27.056,11.595,5.955,1,1
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,613.8,613.36,2.87,118.03,174.07,0.4722,0.2628,45,4,7,11,5,3,0,9,266.22,0.392,0.239,13.81,-0.833,18,0.4,0,0,2,1,2,1,1,1,2,1413.702,1.285,9690025118.396,-3.63,32.754,14.643,8.977,5,0
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,670.86,670.38,3.09,166.75,188.21,0.5,0.1975,49,5,7,12,5,3,0,11,287.96,0.39,0.27,13.829,-1.299,16,0.3265,0,0,2,2,2,1,1,1,4,1625.602,1.353,48770043313.12,-4.35,35.944,15.907,9.856,6,0
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,372.55,372.28,3.81,58.2,106.84,0.8261,0.7351,27,2,2,1,4,0,0,4,163.48,0.351,0.243,13.038,-0.167,0,0.0,0,0,4,3,1,0,1,0,2,678.356,1.58,1006218.93,-1.32,19.016,6.087,2.943,7,0
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,363.5,363.25,3.27,82.62,104.73,0.65,0.5992,26,4,4,7,2,1,0,6,156.25,0.491,0.319,12.04,-0.576,6,0.2308,0,0,1,1,0,0,0,0,2,548.415,1.705,477664.797,-1.79,20.521,9.783,8.059,1,1
CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,292.38,292.18,1.7,70.59,82.65,0.5625,0.7723,21,3,4,5,2,1,0,5,125.24,0.49,0.224,11.382,-0.571,6,0.2857,0,0,1,0,1,0,1,0,1,508.734,1.918,39888.816,-1.59,15.792,6.452,4.72,1,1
CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,309.41,309.19,0.63,81.95,85.12,0.6471,0.6415,22,4,5,5,2,1,0,5,131.49,0.491,0.123,9.995,-0.76,6,0.2727,0,0,1,0,0,0,0,0,0,497.923,1.952,58912.858,-1.14,17.218,6.959,4.678,3,1
CC(C)(C)NCC(O)COc1cccc2c1SCCC2,295.45,295.16,2.85,41.49,84.74,0.625,0.8763,20,2,4,5,2,1,0,4,125.66,0.49,0.133,9.984,-0.487,6,0.3,0,0,1,0,1,0,1,0,0,442.593,1.877,28487.237,-0.71,15.675,6.832,4.686,1,1
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,225.29,225.14,1.52,72.72,62.49,0.5,0.6291,16,4,4,3,1,1,0,4,95.55,0.508,0.119,9.848,-0.753,6,0.375,0,0,0,0,0,0,0,0,0,337.522,2.691,2177.274,-1.26,12.808,4.719,4.082,1,1
CC(C)(C)NCC(O)c1ccccc1Cl,227.74,227.11,2.76,32.26,64.17,0.5,0.8325,15,2,2,3,1,1,0,3,96.27,0.387,0.093,9.918,-0.557,6,0.4,0,0,0,0,0,0,0,0,0,319.643,2.618,1626.324,-0.57,12.499,4.971,4.204,1,1
CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,291.44,291.22,3.47,41.49,86.91,0.6667,0.843,21,2,3,6,2,1,0,3,128.26,0.491,0.122,10.043,-0.485,6,0.2857,0,0,1,1,0,0,0,0,0,433.09,1.877,61099.257,-1.06,16.313,7.278,5.328,1,0
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,316.43,316.16,0.5,79.74,82.2,0.8462,0.791,21,2,8,6,2,1,0,8,129.13,0.472,0.27,9.947,-0.58,5,0.2381,0,0,1,1,2,1,1,1,0,429.296,1.816,59622.467,-0.96,16.411,7.348,5.385,1,0
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,471.69,471.31,6.45,43.7,144.38,0.4375,0.3969,35,2,3,8,4,3,0,3,211.0,0.388,0.117,12.058,-0.968,18,0.5143,0,0,1,1,1,0,1,1,0,992.931,1.317,75685458.593,-2.46,25.627,11.074,6.033,1,1
CC(C)(Cc1c[nH]c2ccccc12)NCC(O)COc1ccccc1C#N,363.46,363.19,3.39,81.07,106.74,0.3182,0.573,27,3,4,8,3,3,0,5,159.15,0.489,0.137,10.259,-0.668,15,0.5556,0,0,0,0,1,1,0,0,0,939.881,1.526,1490597.978,-2.81,18.966,8.256,4.881,1,1
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,586.2,585.21,8.95,70.42,171.25,0.3143,0.1736,41,2,4,12,5,4,0,6,251.04,0.481,0.303,11.482,-0.911,22,0.5366,0,0,1,1,1,1,0,0,0,1571.49,1.371,1930319205.044,-3.12,29.375,12.399,7.793,1,0
CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,546.59,546.1,-1.3,191.22,129.56,0.3182,0.1474,37,3,11,9,4,2,0,15,218.16,0.543,0.35,13.114,-1.753,11,0.2973,1,1,2,1,4,2,2,1,2,1323.781,1.551,130887863.906,-3.98,26.093,10.178,5.267,2,0
CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,289.16,288.03,3.59,46.53,70.58,0.4615,0.8615,18,1,2,4,2,1,0,5,115.66,0.478,0.347,10.936,-1.246,6,0.3333,0,0,1,1,0,0,0,0,0,465.63,2.072,11444.669,-0.93,13.5,4.319,2.728,1,1
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,361.83,361.11,3.55,75.63,96.27,0.2632,0.7903,25,2,3,7,2,2,0,6,151.13,0.478,0.347,11.991,-1.284,12,0.48,0,0,0,0,0,0,0,0,1,739.024,1.842,287089.413,-2.53,18.804,8.031,5.499,0,0
CC(C)(S)[C@@H](N)C(=O)O,149.22,149.05,0.11,63.32,38.68,0.8,0.4881,9,3,3,2,0,0,0,4,59.65,0.48,0.321,10.172,-1.019,0,0.0,0,0,0,0,0,0,0,0,0,118.617,4.04,50.07,-0.22,8.78,2.577,2.717,1,0
CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,516.86,516.31,9.91,40.46,156.81,0.6129,0.3132,35,2,4,4,2,2,0,4,223.26,0.507,0.123,11.119,-0.164,12,0.3429,0,0,0,0,0,0,0,0,0,913.608,2.566,7180431.041,-1.26,29.967,9.559,7.381,0,0
CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,285.43,285.21,3.88,23.47,87.74,0.5789,0.8335,21,1,2,2,3,1,0,2,128.03,0.508,0.115,9.865,0.207,6,0.2857,0,0,2,1,1,0,1,1,0,572.929,1.957,53884.3,-1.28,14.649,5.17,2.398,3,0
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,366.55,366.27,4.83,15.71,114.19,0.5,0.5989,27,0,3,10,3,2,0,3,164.5,0.379,0.064,6.088,0.44,12,0.4444,0,0,1,1,1,0,1,1,0,637.945,1.735,2169904.456,-1.84,19.909,10.483,6.369,1,1
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,654.61,653.22,3.19,118.21,164.16,0.5938,0.4563,43,3,6,5,7,2,0,11,259.45,0.349,0.281,14.433,-2.011,9,0.2093,0,0,5,3,5,1,4,3,3,1568.394,1.248,5183276335.822,-2.73,29.007,9.887,4.035,6,0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28,206.13,3.07,37.3,61.03,0.4615,0.8216,15,1,1,4,1,1,0,2,90.94,0.481,0.31,10.762,-0.772,6,0.4,0,0,0,0,0,0,0,0,0,324.894,2.759,1862.336,-1.31,11.763,4.964,3.388,1,1
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,339.48,339.23,3.36,59.22,102.25,0.4286,0.8021,25,1,3,8,2,2,0,4,150.62,0.369,0.234,12.738,-0.926,12,0.48,0,0,0,0,1,1,0,0,1,620.555,2.502,333329.678,-2.2,19.129,8.256,4.074,1,1
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,370.92,370.18,4.79,23.55,108.82,0.4091,0.7551,26,0,2,5,3,2,0,4,161.12,0.309,0.231,13.192,0.154,12,0.4615,0,0,1,1,1,0,1,1,1,706.682,1.8,845813.238,-1.84,18.936,8.698,4.657,0,0
