Drug,MolWt,ExactMolWt,MolLogP,TPSA,MolMR,FractionCSP3,qed,HeavyAtomCount,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FormalCharge,NumHeteroatoms,LabuteASA,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,NumAromaticAtoms,FractionAromaticAtoms,NumPositiveCharges,NumNegativeCharges,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumSaturatedHeterocycles,NumAmideBonds,BertzCT,BalabanJ,Ipc,HallKierAlpha,Kappa1,Kappa2,Kappa3,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters
BrCc1ccc2cccc3c2c1-c1ccccc1-3,295.18,294.0,5.38,0.0,81.01,0.0588,0.4134,18,0,0,1,4,3,0,1,114.4,0.088,0.029,3.61,0.904,16,0.8889,0,0,1,0,0,0,0,0,0,771.662,2.273,34546.737,-1.6,10.334,3.694,1.201,0,0
BrCc1cccc(CBr)c1,263.96,261.9,3.48,0.0,51.7,0.25,0.7171,10,0,0,2,1,1,0,2,77.9,0.088,0.028,3.406,0.938,6,0.6,0,0,0,0,0,0,0,0,0,188.917,2.871,235.29,0.18,8.278,4.141,2.097,0,0
BrCc1cccc2c1-c1cccc3cccc-2c13,295.18,294.0,5.38,0.0,81.01,0.0588,0.4134,18,0,0,1,4,3,0,1,114.4,0.088,0.029,3.604,0.903,16,0.8889,0,0,1,0,0,0,0,0,0,766.412,2.242,34207.867,-1.6,10.334,3.694,1.201,0,0
BrCc1ccccc1,171.04,169.97,2.58,0.0,39.07,0.1429,0.5693,8,0,0,1,1,1,0,1,57.66,0.088,0.028,3.357,0.952,6,0.75,0,0,0,0,0,0,0,0,0,145.733,2.832,91.368,-0.3,5.83,2.876,1.338,0,0
BrCc1ccccc1CBr,263.96,261.9,3.48,0.0,51.7,0.25,0.7171,10,0,0,2,1,1,0,2,77.9,0.088,0.029,3.428,0.939,6,0.6,0,0,0,0,0,0,0,0,0,185.167,2.964,238.976,0.18,8.278,4.141,1.83,0,0
Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,641.7,635.65,6.92,0.0,103.99,1.0,0.2522,18,0,0,0,1,0,0,6,160.95,0.088,0.027,3.816,0.56,0,0.0,0,0,1,1,0,0,0,0,0,174.568,2.612,7860.408,2.88,18.928,9.808,6.76,6,0
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,551.49,545.51,6.26,0.0,72.64,0.0,0.2639,12,0,0,0,1,1,0,6,120.64,0.048,0.048,3.44,0.976,6,0.5,0,0,0,0,0,0,0,0,0,226.303,3.604,416.314,2.1,12.171,4.747,2.189,0,0
Brc1c2ccccc2cc2c1ccc1ccccc12,307.19,306.0,5.91,0.0,86.66,0.0,0.2798,19,0,0,0,4,4,0,1,119.34,0.062,0.033,3.768,1.186,18,0.9474,0,0,0,0,0,0,0,0,0,922.392,2.318,46796.131,-1.86,11.008,4.073,1.584,0,0
Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1,627.59,621.54,7.93,0.0,98.08,0.0,0.3015,18,0,0,1,2,2,0,6,155.69,0.051,0.028,3.608,1.021,12,0.6667,0,0,0,0,0,0,0,0,0,518.45,2.776,8382.964,1.32,15.704,6.393,3.312,0,0
Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,687.64,681.56,7.72,18.46,110.07,0.1429,0.3001,22,0,2,5,2,2,0,8,178.65,0.488,0.147,5.768,0.424,12,0.5455,0,0,0,0,0,0,0,0,0,583.519,1.96,62239.071,0.92,19.247,8.852,5.209,0,0
Brc1ccc(-c2ccccc2)cc1,233.11,231.99,4.12,0.0,59.58,0.0,0.6946,13,0,0,1,2,2,0,1,86.36,0.062,0.018,3.418,1.118,12,0.9231,0,0,0,0,0,0,0,0,0,375.629,2.424,1444.824,-1.08,8.515,3.754,1.985,0,0
Brc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1,362.27,361.05,5.73,3.01,97.05,0.1429,0.5265,23,0,1,2,5,3,0,2,144.26,0.281,0.056,3.518,0.532,18,0.7826,0,0,2,1,1,0,1,1,0,832.853,1.559,644594.336,-1.9,13.531,5.051,2.092,2,2
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,564.69,559.63,7.29,9.23,91.46,0.0,0.3483,18,0,1,2,2,2,0,6,146.94,0.455,0.142,5.865,0.744,12,0.6667,0,0,0,0,0,0,0,0,0,597.262,2.367,10115.935,0.64,15.037,6.393,3.597,0,0
Brc1ccc2c(c1)C1OC1C1CCCCC21,279.18,278.03,4.18,12.53,66.46,0.5714,0.649,16,0,1,0,4,1,0,2,104.31,0.364,0.11,5.908,0.423,6,0.375,0,0,3,2,1,0,1,1,0,442.362,1.836,16611.233,-0.34,9.666,3.33,1.261,4,4
Brc1ccc2c(c1)C=CC1CCCCC21,263.18,262.04,4.75,0.0,67.88,0.4286,0.6332,15,0,0,0,3,1,0,1,99.52,0.08,0.018,3.545,0.798,6,0.4,0,0,2,1,0,0,0,0,0,405.8,2.051,4771.33,-0.56,9.651,3.786,1.671,2,2
Brc1cccc(-c2ccccc2)c1,233.11,231.99,4.12,0.0,59.58,0.0,0.6946,13,0,0,1,2,2,0,1,86.36,0.062,0.018,3.459,1.119,12,0.9231,0,0,0,0,0,0,0,0,0,392.879,2.475,1420.655,-1.08,8.515,3.754,1.985,0,0
Brc1cccc2cc3c(ccc4ccccc43)cc12,307.19,306.0,5.91,0.0,86.66,0.0,0.2798,19,0,0,0,4,4,0,1,119.34,0.062,0.025,3.632,1.153,18,0.9474,0,0,0,0,0,0,0,0,0,922.392,2.259,45066.247,-1.86,11.008,4.073,1.656,0,0
Brc1ccccc1,157.01,155.96,2.45,0.0,34.14,0.0,0.542,7,0,0,0,1,1,0,1,51.3,0.062,0.017,3.311,1.134,6,0.8571,0,0,0,0,0,0,0,0,0,134.107,3.021,47.197,-0.3,4.849,2.124,1.316,0,0
Brc1ccccc1-c1ccccc1,233.11,231.99,4.12,0.0,59.58,0.0,0.6946,13,0,0,1,2,2,0,1,86.36,0.062,0.025,3.533,1.14,12,0.9231,0,0,0,0,0,0,0,0,0,392.879,2.536,1459.757,-1.08,8.515,3.754,1.808,0,0
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccc(C)c(C)c1,361.49,361.2,5.24,38.33,108.46,0.375,0.7565,27,1,2,4,3,2,0,3,161.69,0.421,0.409,12.755,-1.252,12,0.4444,0,0,1,1,0,0,0,0,1,831.205,1.951,1400273.229,-2.73,19.043,8.308,4.166,1,1
C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1,333.43,333.17,4.62,38.33,98.99,0.3182,0.8291,25,1,2,4,3,2,0,3,148.96,0.421,0.409,12.604,-1.235,12,0.48,0,0,1,1,0,0,0,0,1,688.127,1.888,676189.078,-2.73,17.105,7.895,3.854,0,0
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,298.43,298.19,3.49,37.3,85.88,0.75,0.5489,22,1,2,0,4,0,0,2,132.92,0.377,0.136,11.74,-0.908,0,0.0,0,0,4,3,0,0,0,0,0,583.005,1.658,148000.491,-1.07,14.518,4.712,1.752,6,6
C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,298.43,298.19,3.64,37.3,85.95,0.75,0.5475,22,1,2,0,4,0,0,2,132.92,0.377,0.137,11.746,-0.903,0,0.0,0,0,4,2,0,0,0,0,0,595.319,1.671,148000.491,-1.07,14.518,4.712,1.752,5,5
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,298.43,298.19,3.49,37.3,85.88,0.75,0.6951,22,1,2,0,4,0,0,2,132.92,0.377,0.155,11.704,-0.902,0,0.0,0,0,4,3,0,0,0,0,0,583.005,1.652,148000.491,-1.07,14.518,4.712,1.752,6,6
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,312.45,312.21,3.88,37.3,90.49,0.7619,0.7461,23,1,2,1,4,0,0,2,139.28,0.377,0.155,11.75,-0.893,0,0.0,0,0,4,3,0,0,0,0,0,597.453,1.671,264546.994,-1.07,15.457,5.214,1.956,6,6
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,296.41,296.18,3.61,40.46,86.51,0.6,0.718,22,2,2,0,4,1,0,2,132.11,0.508,0.13,10.907,-0.919,6,0.2727,0,0,3,2,0,0,0,0,0,658.161,1.722,148000.491,-1.46,14.153,4.522,1.664,5,5
C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,310.44,310.19,3.92,29.46,91.39,0.619,0.7968,23,1,2,1,4,1,0,2,138.8,0.497,0.13,10.956,-0.9,6,0.2609,0,0,3,2,0,0,0,0,0,672.909,1.696,259558.325,-1.46,15.09,5.016,1.926,5,5
C#CC1(OC(=O)CCCCCC)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,410.6,410.28,6.01,43.37,118.51,0.7778,0.3057,30,0,3,6,4,0,0,3,181.95,0.445,0.307,12.687,-0.733,0,0.0,0,0,4,3,0,0,0,0,0,758.56,1.486,6972466.954,-1.56,21.664,8.523,3.549,6,6
C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C,340.46,340.2,4.21,43.37,95.49,0.7273,0.4079,25,0,3,1,4,0,0,3,150.13,0.445,0.304,11.833,-0.73,0,0.0,0,0,4,2,0,0,0,0,0,696.551,1.658,565586.816,-1.56,16.884,5.727,2.329,5,5
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,354.49,354.22,4.45,43.37,100.04,0.7391,0.5159,26,0,3,1,4,0,0,3,156.49,0.445,0.304,11.933,-0.742,0,0.0,0,0,4,3,0,0,0,0,0,728.225,1.685,776145.843,-1.56,17.834,5.716,2.202,6,6
C#CCBr,118.96,117.94,1.01,0.0,22.63,0.3333,0.3295,4,0,0,0,0,0,0,1,34.34,0.119,0.064,4.731,0.66,0,0.0,0,0,0,0,0,0,0,0,0,33.038,2.433,6.855,0.04,4.04,3.04,2.04,0,0
C#CCNC(=NCCSCc1nc[nH]c1C)NC#N,276.37,276.12,0.6,88.89,77.37,0.4167,0.1768,19,3,4,6,1,1,0,7,116.65,0.348,0.205,8.544,0.34,5,0.2632,0,0,0,0,1,1,0,0,0,493.053,2.255,22373.934,-2.12,14.939,8.897,5.844,0,0
C#CCO,56.06,56.03,-0.39,20.23,15.92,0.3333,0.3747,4,1,1,0,0,0,0,1,25.26,0.384,0.103,7.639,-0.153,0,0.0,0,0,0,0,0,0,0,0,0,33.038,2.433,6.855,-0.48,3.52,2.52,1.52,0,0
C#CCOCCN1C=CN(C)C1/C=N/O,209.25,209.12,0.14,48.3,57.33,0.5,0.23,15,1,5,5,1,0,0,5,89.6,0.411,0.141,8.502,-0.051,0,0.0,0,0,1,0,1,0,1,0,0,282.882,2.341,2975.576,-1.67,11.405,5.935,3.183,1,1
C#CCOCC[n+]1ccccc1/C=N/O,205.24,205.1,0.43,45.7,55.67,0.2727,0.1891,15,1,3,5,1,1,1,4,88.81,0.411,0.227,8.452,0.316,6,0.4,1,0,0,0,1,1,0,0,0,369.096,2.56,2858.517,-1.86,11.216,6.573,3.793,0,0
C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,286.37,286.16,3.74,39.44,81.23,0.5,0.4701,21,0,3,5,2,1,0,3,125.91,0.461,0.31,12.193,-0.155,5,0.2381,0,0,1,1,1,1,0,0,0,594.225,1.905,43808.139,-1.95,15.439,5.811,3.387,2,2
C#CCc1ccc(COC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)o1,286.37,286.16,3.74,39.44,81.23,0.5,0.4701,21,0,3,5,2,1,0,3,125.91,0.461,0.31,12.193,-0.155,5,0.2381,0,0,1,1,1,1,0,0,0,594.225,1.905,43808.139,-1.95,15.439,5.811,3.387,2,0
C#C[C@@](OC(=O)NC1CCCCC1)(c1ccccc1)c1ccc(C)c(C)c1,361.49,361.2,5.24,38.33,108.46,0.375,0.7565,27,1,2,4,3,2,0,3,161.69,0.421,0.409,12.755,-1.252,12,0.4444,0,0,1,1,0,0,0,0,1,831.205,1.951,1400273.229,-2.73,19.043,8.308,4.166,1,0
C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,312.45,312.21,3.88,37.3,90.49,0.7619,0.7461,23,1,2,1,4,0,0,2,139.28,0.377,0.155,11.75,-0.893,0,0.0,0,0,4,3,0,0,0,0,0,597.453,1.671,264546.994,-1.07,15.457,5.214,1.956,6,0
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,298.43,298.19,3.64,37.3,85.95,0.75,0.5475,22,1,2,0,4,0,0,2,132.92,0.377,0.137,11.746,-0.903,0,0.0,0,0,4,2,0,0,0,0,0,595.319,1.671,148000.491,-1.07,14.518,4.712,1.752,5,0
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,340.46,340.2,4.06,43.37,95.42,0.7273,0.5339,25,0,3,1,4,0,0,3,150.13,0.445,0.304,11.791,-0.729,0,0.0,0,0,4,3,0,0,0,0,0,683.876,1.643,565586.816,-1.56,16.884,5.727,2.329,6,0
C(=C/c1cccc(/C=C/c2ccccc2)c1)\c1ccccc1,282.39,282.14,6.03,0.0,97.18,0.0,0.5126,22,0,0,4,3,3,0,0,131.63,0.062,0.025,2.193,1.207,18,0.8182,0,0,0,0,0,0,0,0,0,700.653,1.754,182099.68,-2.86,14.093,7.235,4.065,0,0
C(=C/c1ccccc1)\c1ccccc1,180.25,180.09,3.86,0.0,61.81,0.0,0.6155,14,0,0,2,2,2,0,0,84.53,0.062,0.026,2.12,1.233,12,0.8571,0,0,0,0,0,0,0,0,0,357.068,2.159,2714.305,-1.82,8.764,4.426,2.332,0,0
C(=N/N1Cc2[nH]c3ccccc3c2N=N1)\c1ccc(Oc2ccccc2)cc1,367.41,367.14,5.81,65.34,108.91,0.0455,0.4627,28,1,5,4,5,4,0,6,161.32,0.457,0.127,5.803,0.555,21,0.75,0,0,1,0,2,1,1,0,0,1162.744,1.277,6288419.748,-3.93,16.259,6.999,3.231,0,0
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,398.47,398.2,1.76,97.56,123.52,0.1818,0.3058,30,4,8,4,5,3,0,8,173.42,0.353,0.212,4.43,0.707,14,0.4667,0,0,2,0,2,0,2,0,0,1057.457,1.583,20407466.861,-3.94,18.112,8.2,3.547,0,0
C(=N/c1snc2ccccc12)\c1ccccc1,238.31,238.06,4.05,25.25,73.32,0.0,0.6183,17,0,3,2,3,3,0,3,103.43,0.243,0.143,4.496,0.962,15,0.8824,0,0,0,0,1,1,0,0,0,656.054,1.98,18470.631,-2.0,10.173,4.473,2.098,0,0
C(=NC1CCCCC1)=NC1CCCCC1,206.33,206.18,3.83,24.72,63.61,0.9231,0.6135,15,0,2,2,2,0,0,2,92.9,0.222,0.09,4.461,0.533,0,0.0,0,0,2,2,0,0,0,0,0,206.921,1.772,4414.324,-0.62,10.883,6.07,3.791,0,0
C(CC1CO1)C1CO1,114.14,114.07,0.56,25.06,28.71,1.0,0.5008,8,0,2,3,2,0,0,2,48.78,0.373,0.081,5.031,0.596,0,0.0,0,0,2,2,2,0,2,2,0,72.529,1.556,234.399,-0.08,4.767,1.707,1.202,2,2
C(CCC1CO1)CC1CO1,142.2,142.1,1.34,25.06,37.95,1.0,0.4273,10,0,2,5,2,0,0,2,61.51,0.373,0.081,5.1,0.625,0,0.0,0,0,2,2,2,0,2,2,0,91.825,1.395,625.641,-0.08,6.619,2.888,2.272,2,2
C(CCOCC1CO1)COCC1CO1,202.25,202.12,0.6,43.52,50.35,1.0,0.4054,14,0,4,9,2,0,0,4,84.47,0.379,0.104,5.392,0.387,0,0.0,0,0,2,2,2,0,2,2,0,136.201,1.254,4543.778,-0.16,10.361,5.656,4.906,2,2
C(CCOC[C@H]1CO1)COC[C@H]1CO1,202.25,202.12,0.6,43.52,50.35,1.0,0.4054,14,0,4,9,2,0,0,4,84.47,0.379,0.104,5.392,0.387,0,0.0,0,0,2,2,2,0,2,2,0,136.201,1.254,4543.778,-0.16,10.361,5.656,4.906,2,0
C(CC[C@H]1CO1)C[C@H]1CO1,142.2,142.1,1.34,25.06,37.95,1.0,0.4273,10,0,2,5,2,0,0,2,61.51,0.373,0.081,5.1,0.625,0,0.0,0,0,2,2,2,0,2,2,0,91.825,1.395,625.641,-0.08,6.619,2.888,2.272,2,0
C(COCC1CO1)OCC1CO1,174.2,174.09,-0.18,43.52,41.12,1.0,0.3964,12,0,4,7,2,0,0,4,71.74,0.376,0.104,5.269,0.358,0,0.0,0,0,2,2,2,0,2,2,0,115.02,1.308,1682.009,-0.16,8.439,4.183,3.492,2,2
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,423.73,422.04,6.28,36.28,110.37,0.15,0.3311,27,0,4,7,3,3,0,7,172.46,0.49,0.147,6.386,0.336,17,0.6296,0,0,0,0,1,1,0,0,0,922.91,1.762,1707169.248,-2.14,19.617,9.177,5.192,0,0
C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,490.59,490.17,4.38,115.48,135.19,0.1923,0.3289,35,1,8,10,3,3,0,9,207.77,0.462,0.338,12.913,-0.459,18,0.5143,0,0,0,0,1,1,0,0,1,1216.536,1.811,61244359.577,-3.98,25.639,12.474,7.249,0,0
C/C(C(=O)O)=C(/Cl)C(=O)O,164.54,163.99,0.67,74.6,33.82,0.2,0.5885,10,2,2,2,0,0,0,5,61.72,0.478,0.347,10.04,-1.429,0,0.0,0,0,0,0,0,0,0,0,0,183.693,4.674,106.756,-1.03,8.97,3.217,2.064,0,0
C/C(C=O)=C(/Cl)C(=O)O,148.55,147.99,0.78,54.37,32.25,0.2,0.4653,9,1,2,2,0,0,0,4,56.93,0.477,0.347,9.951,-1.277,0,0.0,0,0,0,0,0,0,0,0,0,171.042,4.472,75.581,-0.83,8.17,3.246,2.279,0,0
C/C(C=O)=C/c1ccccc1,146.19,146.07,2.29,17.07,46.16,0.1,0.4618,11,0,1,2,1,1,0,1,66.36,0.298,0.145,10.241,0.746,6,0.5455,0,0,0,0,0,0,0,0,0,259.461,2.872,370.936,-1.37,7.734,3.715,2.378,0,0
C/C(Cl)=C\C=O,104.54,104.0,1.33,17.07,25.67,0.25,0.3624,6,0,1,1,0,0,0,2,41.61,0.299,0.143,9.454,0.519,0,0.0,0,0,0,0,0,0,0,0,0,71.617,3.405,14.834,-0.3,5.7,2.913,3.7,0,0
C/C=C(/C)C#N,81.12,81.06,1.48,23.79,25.04,0.4,0.405,6,0,1,0,0,0,0,1,37.9,0.193,0.094,8.016,0.773,0,0.0,0,0,0,0,0,0,0,0,0,94.996,3.614,19.8,-0.77,5.23,2.466,1.54,0,0
