Drug,IUPAC_Name,MolecularFormula
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CC)C(=O)[C@H]3CC[C@@H]12,"(3aS,5aR,6Z,8R,9S,9aS,9bS)-2-ethyl-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C19H26N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@@H]12,"ethyl 3-[(3aS,5aR,6Z,8R,9S,9aS,9bS)-8,9-dihydroxy-1,3-dioxo-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindol-2-yl]propanoate",C22H30N2O7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@@H]12,"(3aS,5aR,6Z,8R,9S,9aS,9bS)-8,9-dihydroxy-2-[[(2S)-oxolan-2-yl]methyl]-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C22H30N2O6
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@@H]12,"(3aS,5aR,6Z,8R,9S,9aS,9bS)-2-(1,3-benzodioxol-5-ylmethyl)-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C25H28N2O7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@@H]12,"(3aS,5aR,6Z,8R,9S,9aS,9bS)-2-benzyl-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C24H28N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@@H]12,"(3aS,5aR,6Z,8R,9S,9aS,9bS)-8,9-dihydroxy-6-pent-4-ynoxyimino-2-(3-phenoxyphenyl)-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C29H30N2O6
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@@H]12,"(3aS,5aR,6Z,8R,9S,9aS,9bS)-8,9-dihydroxy-6-pent-4-ynoxyimino-2-[(1S)-1-phenylethyl]-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C25H30N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(C(C)(C)C)C(=O)[C@H]12,"(3aS,5aS,6Z,8R,9S,9aS,9bS)-2-tert-butyl-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C21H30N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(C3CCCCC3)C(=O)[C@H]12,"(3aS,5aS,6Z,8R,9S,9aS,9bS)-2-cyclohexyl-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C23H32N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(CC)C(=O)[C@H]12,"(3aS,5aS,6Z,8R,9S,9aS,9bS)-2-ethyl-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C19H26N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(CCC(=O)OCC)C(=O)[C@H]12,"ethyl 3-[(3aS,5aS,6Z,8R,9S,9aS,9bS)-8,9-dihydroxy-1,3-dioxo-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindol-2-yl]propanoate",C22H30N2O7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(Cc3ccc4c(c3)OCO4)C(=O)[C@H]12,"(3aS,5aS,6Z,8R,9S,9aS,9bS)-2-(1,3-benzodioxol-5-ylmethyl)-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C25H28N2O7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(C[C@@H]3CCCO3)C(=O)[C@H]12,"(3aS,5aS,6Z,8R,9S,9aS,9bS)-8,9-dihydroxy-2-[[(2S)-oxolan-2-yl]methyl]-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C22H30N2O6
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(Cc3ccccc3)C(=O)[C@H]12,"(3aS,5aS,6Z,8R,9S,9aS,9bS)-2-benzyl-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C24H28N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N([C@@H](C)c3ccccc3)C(=O)[C@H]12,"(3aS,5aS,6Z,8R,9S,9aS,9bS)-8,9-dihydroxy-6-pent-4-ynoxyimino-2-[(1S)-1-phenylethyl]-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C25H30N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@@H]1C(=O)N(c3cccc(Oc4ccccc4)c3)C(=O)[C@H]12,"(3aS,5aS,6Z,8R,9S,9aS,9bS)-8,9-dihydroxy-6-pent-4-ynoxyimino-2-(3-phenoxyphenyl)-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C29H30N2O6
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@@H]1CC[C@H]1C(=O)N(c3ccc(F)cc3F)C(=O)[C@H]21,"(3aR,5aS,6Z,8R,9S,9aS,9bR)-2-(2,4-difluorophenyl)-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C23H24F2N2O5
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@H]2[C@H]1CC[C@H]1C(=O)N(c3ccc(F)cc3F)C(=O)[C@H]21,"(3aR,5aR,6Z,8R,9S,9aS,9bR)-2-(2,4-difluorophenyl)-8,9-dihydroxy-6-pent-4-ynoxyimino-4,5,5a,7,8,9,9a,9b-octahydro-3aH-benzo[e]isoindole-1,3-dione",C23H24F2N2O5
C#CCCCO/N=C1\[C@@H]2CCn3c(=O)n(-c4ccccc4)c(=O)n3[C@H]2[C@H](O)[C@H]2O[C@H]12,"(1R,9R,10E,11R,13R,14S)-14-hydroxy-10-pent-4-ynoxyimino-4-phenyl-12-oxa-2,4,6-triazatetracyclo[7.5.0.02,6.011,13]tetradecane-3,5-dione",C21H22N4O5
C#CCCCO/N=C1\[C@@H]2CCn3c(=O)n(C)c(=O)n3[C@H]2[C@H](O)[C@H]2O[C@H]12,"(1R,9R,10E,11R,13R,14S)-14-hydroxy-4-methyl-10-pent-4-ynoxyimino-12-oxa-2,4,6-triazatetracyclo[7.5.0.02,6.011,13]tetradecane-3,5-dione",C16H20N4O5
C#CCCCO/N=C1\[C@@H]2CCn3c(=O)n(Cc4cc5c(cc4Cl)OCO5)c(=O)n3[C@H]2[C@H](O)[C@H]2O[C@H]12,"(1R,9R,10E,11R,13R,14S)-4-[(6-chloro-1,3-benzodioxol-5-yl)methyl]-14-hydroxy-10-pent-4-ynoxyimino-12-oxa-2,4,6-triazatetracyclo[7.5.0.02,6.011,13]tetradecane-3,5-dione",C23H23ClN4O7
C#CCN(C)[C@H](C)Cc1ccccc1,(2R)-N-methyl-1-phenyl-N-prop-2-ynylpropan-2-amine,C13H17N
C#CCCCO/N=C1\[C@@H]2CCn3c(=O)n([C@@H](CC)c4ccccc4)c(=O)n3[C@H]2[C@H](O)[C@H]2O[C@H]12,"(1R,9R,10E,11R,13R,14S)-14-hydroxy-10-pent-4-ynoxyimino-4-[(1S)-1-phenylpropyl]-12-oxa-2,4,6-triazatetracyclo[7.5.0.02,6.011,13]tetradecane-3,5-dione",C24H28N4O5
C#CCOC(=O)NC(/C=C/CCCC)c1ccccc1,prop-2-ynyl N-[(E)-1-phenylhept-2-enyl]carbamate,C17H21NO2
C#CCOC(=O)[C@H](N)CC(N)=O,"prop-2-ynyl (2R)-2,4-diamino-4-oxobutanoate",C7H10N2O3
C#CCOCCCC(=O)O,4-prop-2-ynoxybutanoic acid,C7H10O3
C#CCSc1n[nH]c(-c2ccco2)n1,"5-(furan-2-yl)-3-prop-2-ynylsulfanyl-1H-1,2,4-triazole",C9H7N3OS
C#CCSc1nc(Cc2ccc(Cl)cc2)nc2ccccc12,2-[(4-chlorophenyl)methyl]-4-prop-2-ynylsulfanylquinazoline,C18H13ClN2S
C#CCSc1nnc(-c2cc3c(C(F)(F)F)nn(C)c3s2)n1C,"1-methyl-5-(4-methyl-5-prop-2-ynylsulfanyl-1,2,4-triazol-3-yl)-3-(trifluoromethyl)thieno[3,2-d]pyrazole",C13H10F3N5S2
C#CCSc1nnc(-c2sc(-c3ccccc3)nc2C)n1C,"4-methyl-5-(4-methyl-5-prop-2-ynylsulfanyl-1,2,4-triazol-3-yl)-2-phenyl-1,3-thiazole",C16H14N4S2
C#CCSc1nncn1C(=O)/C=C/c1ccccc1,"(E)-3-phenyl-1-(3-prop-2-ynylsulfanyl-1,2,4-triazol-4-yl)prop-2-en-1-one",C14H11N3OS
C#CC[N+](CC)(CC)CC#Cc1cccc(Cl)c1.[Br-],3-(3-chlorophenyl)prop-2-ynyl-diethyl-prop-2-ynylazanium bromide,C16H19BrClN
C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,"3,7-dimethyl-1-prop-2-ynylpurine-2,6-dione",C10H10N4O2
C#CCn1c(S(=O)(=O)Cc2ccc(OC)cc2)nc(-c2ccccc2)c1-c1ccccc1,"2-[(4-methoxyphenyl)methylsulfonyl]-4,5-diphenyl-1-prop-2-ynylimidazole",C26H22N2O3S
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21C,"(8R,9S,10R,13R,14R,17S)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",C20H26O2
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]21CC,"(8R,9S,10R,13R,14R,17S)-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",C21H28O2
C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C,"(8R,9S,10S,13R,14R,17S)-17-ethynyl-17-hydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one",C21H28O2
C#C[C@@]1(OC(C)=O)CC[C@@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@H]4[C@H]3CC[C@]21C,"[(3S,8R,9S,10S,13R,14R,17S)-17-acetyloxy-17-ethynyl-13-methyl-2,3,6,7,8,9,10,11,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate",C24H32O4
C#C[C@H](N)CCC(=O)O,(4R)-4-aminohex-5-ynoic acid,C6H9NO2
C#C[C@]1(O)CC[C@@H]2[C@H]3CCc4cc(OC)ccc4[C@@H]3CC[C@@]21C,"(8S,9R,13S,14R,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol",C21H26O2
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@@]21C,"(1R,2R,13S,14R,17R,18S)-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.02,10.04,8.014,18]icosa-4(8),5,9-trien-17-ol",C22H27NO2
C(#CCN1CCCC1)CN1CCCC1,1-(4-pyrrolidin-1-ylbut-2-ynyl)pyrrolidine,C12H20N2
C#C[C@]1(O)CC[C@H]2[C@H]3CCC4=Cc5oncc5C[C@]4(C)[C@@H]3CC[C@]21C,"(1R,2R,13S,14S,17R,18R)-17-ethynyl-2,18-dimethyl-7-oxa-6-azapentacyclo[11.7.0.02,10.04,8.014,18]icosa-4(8),5,9-trien-17-ol",C22H27NO2
C(/C=C\c1ccccc1)=Nc1ccc2c(c1)Cc1ccccc1-2,(Z)-N-(9H-fluoren-2-yl)-3-phenylprop-2-en-1-imine,C22H17N
C(=C/c1nnc(-c2cccs2)o1)\c1ccccc1,"2-[(E)-2-phenylethenyl]-5-thiophen-2-yl-1,3,4-oxadiazole",C14H10N2OS
C(=C1\CCCC2=C1Nc1ncnn1C2c1ccccc1)\c1ccccc1,"(5E)-5-benzylidene-9-phenyl-6,7,8,9-tetrahydro-4H-[1,2,4]triazolo[5,1-b]quinazoline",C22H20N4
C(=N/N(c1ccccc1)c1ccccc1)\c1ccc2c(c1)OCO2,"N-[(E)-1,3-benzodioxol-5-ylmethylideneamino]-N-phenylaniline",C20H16N2O2
C(=N/Nc1nc(Nc2ccccc2)nc(N2CCOCC2)n1)\c1c[nH]c2ccccc12,"2-N-[(E)-1H-indol-3-ylmethylideneamino]-6-morpholin-4-yl-4-N-phenyl-1,3,5-triazine-2,4-diamine",C22H22N8O
C(=N/n1cnnc1)\c1cccn1-c1ccccc1,"(E)-1-(1-phenylpyrrol-2-yl)-N-(1,2,4-triazol-4-yl)methanimine",C13H11N5
C(=NC12CN3CN(CN(C3)C1)C2)c1cccs1,"1-thiophen-2-yl-N-(1,3,5-triazatricyclo[3.3.1.13,7]decan-7-yl)methanimine",C12H16N4S
C(=NC12CN3CN(CN(C3)C1)C2)c1cccnc1,"1-pyridin-3-yl-N-(1,3,5-triazatricyclo[3.3.1.13,7]decan-7-yl)methanimine",C13H17N5
C(=N\Nc1nnc2c(n1)[nH]c1ccccc12)\c1cccnc1,"N-[(Z)-pyridin-3-ylmethylideneamino]-5H-[1,2,4]triazino[5,6-b]indol-3-amine",C15H11N7
C(=N\Nc1ccccn1)\c1cccnc1,N-[(Z)-pyridin-3-ylmethylideneamino]pyridin-2-amine,C11H10N4
C(=Nc1cnc2ccccc2c1)c1ccc2ccccc2n1,1-quinolin-2-yl-N-quinolin-3-ylmethanimine,C19H13N3
C(=Nc1ccc2c(c1)Cc1ccccc1-2)c1ccccn1,N-(9H-fluoren-2-yl)-1-pyridin-2-ylmethanimine,C19H14N2
C(CCc1nnc2c(n1)CCCC2)Cc1nnc2c(n1)CCCC2,"3-[4-(5,6,7,8-tetrahydro-1,2,4-benzotriazin-3-yl)butyl]-5,6,7,8-tetrahydro-1,2,4-benzotriazine",C18H24N6
C(Cc1nn[nH]n1)c1nn[nH]n1,5-[2-(2H-tetrazol-5-yl)ethyl]-2H-tetrazole,C4H6N8
C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,S-[(E)-2-[(4-amino-2-methylpyrimidin-5-yl)methyl-formylamino]-5-phosphonooxypent-2-en-3-yl] benzenecarbothioate,C19H23N4O6PS
C/C(=C(/CCO)SSC[C@@H]1CCCO1)N(C=O)Cc1cnc(C)nc1N,N-[(4-amino-2-methylpyrimidin-5-yl)methyl]-N-[(E)-5-hydroxy-3-[[(2S)-oxolan-2-yl]methyldisulfanyl]pent-2-en-2-yl]formamide,C17H26N4O3S2
C/C(=C/C(=O)NCc1ccccc1)C(=O)O,(Z)-4-(benzylamino)-2-methyl-4-oxobut-2-enoic acid,C12H13NO3
C/C(=C1/SC(N2CCCC2)=NC1=O)c1ccc(Br)cc1,"(5Z)-5-[1-(4-bromophenyl)ethylidene]-2-pyrrolidin-1-yl-1,3-thiazol-4-one",C15H15BrN2OS
C/C(=C\C(=O)c1ccc(Br)cc1)NCc1ccc2c(c1)OCO2,"(E)-3-(1,3-benzodioxol-5-ylmethylamino)-1-(4-bromophenyl)but-2-en-1-one",C18H16BrNO3
C/C(=C\C(=O)c1ccc(Cl)cc1)NCc1ccc2c(c1)OCO2,"(E)-3-(1,3-benzodioxol-5-ylmethylamino)-1-(4-chlorophenyl)but-2-en-1-one",C18H16ClNO3
C/C(=C\C(=O)c1ccccc1)Nc1ccc(Br)c(Cl)c1,(E)-3-(4-bromo-3-chloroanilino)-1-phenylbut-2-en-1-one,C16H13BrClNO
C/C(=C\C1CCCCC1)C(NC(=O)c1ccc(C(F)(F)F)cc1)c1ccc(-c2ccccc2)cc1,N-[(E)-3-cyclohexyl-2-methyl-1-(4-phenylphenyl)prop-2-enyl]-4-(trifluoromethyl)benzamide,C30H30F3NO
C/C(=C\C=C/[C@@H](C)C(=O)O)[C@H]1CN[C@H](C(=O)O)[C@@H]1CC(=O)O,"(2S,3R,4S)-4-[(2E,4Z,6R)-6-carboxyhepta-2,4-dien-2-yl]-3-(carboxymethyl)pyrrolidine-2-carboxylic acid",C15H21NO6
C/C(=C\c1ccc(Cl)cc1)C(C)(C)C(=O)O,"(E)-4-(4-chlorophenyl)-2,2,3-trimethylbut-3-enoic acid",C13H15ClO2
C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],"N,N-dimethyl-4-[(E)-2-nitroprop-1-enyl]aniline",C11H14N2O2
C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2n[nH]c(-c3ccccc3)c21,"6-amino-4-[(E)-1-(furan-2-yl)prop-1-en-2-yl]-3-phenyl-2,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile",C20H16N4O2
C/C(=N/NC(=O)Cc1cccn1C)c1ccccc1,2-(1-methylpyrrol-2-yl)-N-[(Z)-1-phenylethylideneamino]acetamide,C15H17N3O
C/C(=N/NC(=O)c1ccc(C)s1)c1cccc(NC(=O)COc2ccc(Cl)cc2C)c1,N-[(Z)-1-[3-[[2-(4-chloro-2-methylphenoxy)acetyl]amino]phenyl]ethylideneamino]-5-methylthiophene-2-carboxamide,C23H22ClN3O3S
C/C(=N/NC(=O)c1ccc(NC(=O)c2ccc(F)cc2)cc1)c1ccccc1,4-[(4-fluorobenzoyl)amino]-N-[(Z)-1-phenylethylideneamino]benzamide,C22H18FN3O2
C/C(=N/NC(=O)c1ccncc1)c1ccccc1Cl,N-[(Z)-1-(2-chlorophenyl)ethylideneamino]pyridine-4-carboxamide,C14H12ClN3O
C/C(=N/NS(=O)(=O)c1ccc(C)cc1)P(=O)(O)O,[(Z)-C-methyl-N-[(4-methylphenyl)sulfonylamino]carbonimidoyl]phosphonic acid,C9H13N2O5PS
C/C(=N/NS(=O)(=O)c1ccc(C)cc1)c1cccc(NC(=O)c2cccc(Cl)c2)c1,3-chloro-N-[3-[(Z)-C-methyl-N-[(4-methylphenyl)sulfonylamino]carbonimidoyl]phenyl]benzamide,C22H20ClN3O3S
C/C(=N/Nc1ccc2ccccc2n1)c1ccccc1O,2-[(Z)-C-methyl-N-(quinolin-2-ylamino)carbonimidoyl]phenol,C17H15N3O
C/C(=N/Nc1nc(C)cc(=O)[nH]1)C(=O)O,(2Z)-2-[(4-methyl-6-oxo-1H-pyrimidin-2-yl)hydrazinylidene]propanoic acid,C8H10N4O3
