Drug_ID,Drug,Y,task_label
TOX27034,CC/C=C\CC/C=C/C(OCC)OCC,0.0,NR-AR
TOX27030,C[C@@H](O)C(=O)O,0.0,NR-AR
TOX4674,CCCCOCCOCCSC#N,0.0,NR-AR
TOX1902,BrCCCBr,0.0,NR-AR
TOX9776,CCCCCCCCCCCCCOS(=O)(=O)[O-],0.0,NR-AR
TOX1291,O=S(=O)([O-])[O-].[Na+].[Na+],0.0,NR-AR
TOX5603,CNCCO,0.0,NR-AR
TOX5604,CCOC(C)(C)C,0.0,NR-AR
TOX5609,COC=O,0.0,NR-AR
TOX26924,COC(=O)CCC[N+](C)(C)C,0.0,NR-AR
TOX22232,CC(CC=O)CCCC(C)(C)O,0.0,NR-AR
TOX16690,CC(C)COC(=O)CCCCC(=O)OCC(C)C,0.0,NR-AR
TOX7543,CCN(O)CC,0.0,NR-AR
TOX13754,C=CC(=O)NC(C)C,0.0,NR-AR
TOX27003,[O-][Cl+3]([O-])([O-])[O-],0.0,NR-AR
TOX1036,CCN(C)N=O,0.0,NR-AR
TOX1741,CCCCCO,0.0,NR-AR
TOX1032,CCCN(CCC)N=O,0.0,NR-AR
TOX9108,C[N+](C)(C)C,0.0,NR-AR
TOX2218,C=C(C)C(=O)OC(C)C,0.0,NR-AR
TOX24400,CCCC[N+](CCCC)(CCCC)CCCC,0.0,NR-AR
TOX24402,CC(=O)CC(=O)OC(C)(C)C,0.0,NR-AR
TOX24405,N=C(N)NN,0.0,NR-AR
TOX24404,OCCSSCCO,0.0,NR-AR
TOX24409,ClCCCCCCCl,0.0,NR-AR
TOX131,[Ba+2],0.0,NR-AR
TOX5849,C=CCCC,0.0,NR-AR
TOX21573,CCOC(=O)CP(=O)(OCC)OCC,0.0,NR-AR
TOX21575,O=C(O)COCC(=O)O,0.0,NR-AR
TOX5846,CCCCC,0.0,NR-AR
TOX29385,N#CC(C#N)=C(C#N)C#N,0.0,NR-AR
TOX2666,C[N+](C)(C)CC(=O)[O-],0.0,NR-AR
TOX5591,CN(CCO)CCO,0.0,NR-AR
TOX5595,C=CC(=O)NCNC(=O)C=C,0.0,NR-AR
TOX5599,N#CSCSC#N,0.0,NR-AR
TOX14997,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,0.0,NR-AR
TOX6824,CCCCS,0.0,NR-AR
TOX26713,C[S+](C)CCC(N)C(=O)O,0.0,NR-AR
TOX22007,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OCC(O)CO,0.0,NR-AR
TOX22006,CCCCCCCC(=O)OCC(O)CO,0.0,NR-AR
TOX22005,CCCCCCCCCCCCCC(=O)OCC(O)CO,0.0,NR-AR
TOX7997,C=CCN(CC=C)C(=O)C(Cl)Cl,0.0,NR-AR
TOX7991,CCCCCCCCCCCCCCCCO,0.0,NR-AR
TOX4183,C=CC(=O)OC,0.0,NR-AR
TOX9169,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)OC,0.0,NR-AR
TOX20710,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.0,NR-AR
TOX20712,CC[Sn](Br)(CC)CC,0.0,NR-AR
TOX24879,CCC(CO)(CO)COCC(CC)(CO)CO,0.0,NR-AR
TOX24870,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,0.0,NR-AR
TOX24655,CCCCCCCCCCCC(=O)N(CC)CC,0.0,NR-AR
TOX24656,N#CCCOCCOCCC#N,0.0,NR-AR
TOX24873,C=CC(=O)OCCCCCCCCCC,0.0,NR-AR
TOX24875,CN(C)CCN(C)CCO,0.0,NR-AR
TOX6228,CCOP(=O)(OCC)OCC,0.0,NR-AR
TOX6223,CC(=O)OCCOCCOCCOC(C)=O,0.0,NR-AR
TOX9904,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,NR-AR
TOX728,NNCCO,0.0,NR-AR
TOX12459,CCOP(=S)(OCC)SCSCC,0.0,NR-AR
TOX5100,C=CC(=O)OCCN(C)C,0.0,NR-AR
TOX4283,CCOCC(C)O,0.0,NR-AR
TOX5102,CN(C)CCCN,0.0,NR-AR
TOX7178,COC(C)OC,0.0,NR-AR
TOX583,C=CC(=O)OCC,0.0,NR-AR
TOX1822,CC(C)N(CCO)C(C)C,0.0,NR-AR
TOX1821,CCC(C)=NO,0.0,NR-AR
TOX1820,CCC(=O)CC,0.0,NR-AR
TOX8974,CCCC(C)CC,0.0,NR-AR
TOX12406,CCOP(=O)([O-])C(N)=O,0.0,NR-AR
TOX7504,C=C(C)C(=O)OCCN(C)C,0.0,NR-AR
TOX7500,CCCOCCO,0.0,NR-AR
TOX7509,COC(=O)CCS,0.0,NR-AR
TOX26016,N=C(N)NN.N=C(N)NN,0.0,NR-AR
TOX27639,CCCCCCC#CC(=O)OC,0.0,NR-AR
TOX27637,CCCCCC/C=C/C(=O)OC,0.0,NR-AR
TOX27636,CCCCCCCC(=O)OCCCCCC,0.0,NR-AR
TOX27633,CCCCCCCC/C=C\CCCCCCCC(=O)OCC,0.0,NR-AR
TOX27631,C/C=C/C=C/CO,0.0,NR-AR
TOX1644,O=C(O)CCCCCCC(=O)O,0.0,NR-AR
TOX29314,CCCCCCCCCCCCCBr,0.0,NR-AR
TOX9755,CCCCOC(O)CC,0.0,NR-AR
TOX6031,CCCCCCCCCCCCOS(=O)(=O)[O-],0.0,NR-AR
TOX6033,CCCCC(CC)COS(=O)(=O)[O-],0.0,NR-AR
TOX2906,CC(C)(CO)[C@@H](O)C(=O)NCCCO,0.0,NR-AR
TOX27413,C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,0.0,NR-AR
TOX22218,CCCCCOC(=O)CCCC,0.0,NR-AR
TOX27145,CC(C)=CC(=O)O,0.0,NR-AR
TOX22215,CCCCCCCCC(=O)Cl,0.0,NR-AR
TOX27414,CC=CC=CCOC(=O)C(C)C,0.0,NR-AR
TOX27418,CC/C=C\CCOC(C)OCC,0.0,NR-AR
TOX28944,COC(=O)C(Cl)C(=O)OC,0.0,NR-AR
TOX28946,NCCC[C@H](N)C(=O)O,0.0,NR-AR
TOX4681,CC(C)(C)N,0.0,NR-AR
TOX7341,NCCOCCO,0.0,NR-AR
TOX17757,C=CCCCCCCCCC=O,0.0,NR-AR
TOX24469,NCCOS(=O)(=O)O,0.0,NR-AR
TOX118,[N-]=[N+]=CC(=O)OC[C@H](N)C(=O)O,1.0,NR-AR
TOX449,COP(=O)(OC)OC=C(Cl)Cl,0.0,NR-AR
TOX448,CC(Cl)CCl,0.0,NR-AR
TOX13447,CC(C)N(C)C,0.0,NR-AR
TOX13445,CN(C)CCCNCCCN,0.0,NR-AR
TOX5824,Cl[Pd]Cl,0.0,NR-AR
TOX4991,ClC=CCl,0.0,NR-AR
TOX15592,CCCCCCCC/C=C/CCCOC(C)=O,0.0,NR-AR
TOX26732,O=S(=O)([O-])CCCS(=O)(=O)[O-],0.0,NR-AR
TOX4331,[TlH2+],0.0,NR-AR
TOX7975,C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC,0.0,NR-AR
TOX4051,CC(C)OP(C)(=O)OC(C)C,0.0,NR-AR
TOX4055,COS(=O)(=O)OC,0.0,NR-AR
TOX7163,CNC,0.0,NR-AR
TOX27178,CCCCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC,0.0,NR-AR
TOX27179,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C,0.0,NR-AR
TOX27173,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-],0.0,NR-AR
TOX28885,CC(=O)NC(CCC(N)=O)C(=O)O,0.0,NR-AR
TOX28556,CCC(CN)CC(C)CCNCC(O)CNCC(C)CC(CC)CN,0.0,NR-AR
TOX28888,O=P([O-])([O-])OC(CO)CO,0.0,NR-AR
TOX24679,CCCCCCCCP(=O)(O)O,0.0,NR-AR
TOX5012,C=C(Cl)CCl,0.0,NR-AR
TOX5010,OC(CCl)CCl,0.0,NR-AR
TOX24508,Cl[Ba]Cl,0.0,NR-AR
TOX25107,O=C(O)CP(=O)(O)O,0.0,NR-AR
TOX79,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-],0.0,NR-AR
TOX12470,CCNP(=S)(OC)O/C(C)=C/C(=O)OC(C)C,0.0,NR-AR
TOX4836,CC(C)=CCCC(C)=CC=O,0.0,NR-AR
TOX306,ClC(Cl)Cl,0.0,NR-AR
TOX7561,COC(=O)CCSCCC(=O)OC,0.0,NR-AR
TOX300,ClC(Br)Br,0.0,NR-AR
TOX7567,CC(C)(CCl)C(=O)Cl,0.0,NR-AR
TOX6783,NC(=O)NC(N)=O,0.0,NR-AR
TOX6781,CC(C)CC(C)O,0.0,NR-AR
TOX24854,C=COCCCCO,0.0,NR-AR
TOX20693,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,0.0,NR-AR
TOX20698,CC(C)COP(=O)(OCC(C)C)OCC(C)C,0.0,NR-AR
TOX7367,C=CCCCCCCCCCCCC,0.0,NR-AR
TOX7360,NC(=O)[O-],0.0,NR-AR
TOX7361,CC(C)(CO)COC(=O)C(C)(C)CO,0.0,NR-AR
TOX4553,NC(=O)N=NC(N)=O,0.0,NR-AR
TOX683,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.0,NR-AR
TOX7092,CCOC(=O)CC(C)=O,0.0,NR-AR
TOX7094,CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC,0.0,NR-AR
TOX7096,CC(C)(O)C#CC(C)(C)O,0.0,NR-AR
TOX7097,CC(=O)[O-].CC(=O)[O-].[Mg+2],0.0,NR-AR
TOX7098,O=C(O)CNCC(=O)O,0.0,NR-AR
TOX7099,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,0.0,NR-AR
TOX24448,C=CCCC(=O)O,0.0,NR-AR
TOX3786,CN=C=O,0.0,NR-AR
TOX21125,[Na]I,0.0,NR-AR
TOX24446,C[N+](C)(C)CC(=O)O,0.0,NR-AR
TOX24443,CCCC[N+](C)(CCCC)CCCC,0.0,NR-AR
TOX29354,BrCCCCCBr,0.0,NR-AR
TOX468,O=CNNC=O,0.0,NR-AR
TOX466,CCNC(=S)NCC,0.0,NR-AR
TOX464,CCOC(=O)/C=C\C(=O)OCC,0.0,NR-AR
TOX463,CCN(C=O)CC,0.0,NR-AR
TOX462,OCCOCCO,0.0,NR-AR
TOX6418,CC(C)(C)S,0.0,NR-AR
TOX5809,CCCCCCCC/C=C\CCCCCCCC(=O)O,0.0,NR-AR
TOX5804,C=CCCCCCC,0.0,NR-AR
TOX14957,CCOP(=O)(OCC)OP(=O)(OCC)OCC,0.0,NR-AR
TOX4311,O=C([O-])CF,0.0,NR-AR
TOX7959,CCCCOCC(C)OCC(C)O,0.0,NR-AR
TOX7950,C=CC(=O)OCCOCC(CC)(COCCOC(=O)C=C)COCCOC(=O)C=C,0.0,NR-AR
TOX7955,C=CC(=O)OCCCCCC(C)C,0.0,NR-AR
TOX4031,Cl/C=C/Cl,0.0,NR-AR
TOX4030,Cl/C=C\Cl,0.0,NR-AR
TOX4038,OCC(Cl)CCl,0.0,NR-AR
TOX6446,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,0.0,NR-AR
TOX7122,COC(OC)OC,0.0,NR-AR
TOX27405,CCCC(=O)OCCC(C)CCC=C(C)C,0.0,NR-AR
TOX27155,N[C@@H](CCC(=O)O)C(=O)O,0.0,NR-AR
TOX27152,CCCC(=O)OC/C=C(\C)CCC=C(C)C,0.0,NR-AR
TOX24834,CP(=O)([O-])OCCC[Si](O)(O)O,0.0,NR-AR
TOX24831,CCCCOC(=O)C(C)OC(=O)CCC,0.0,NR-AR
TOX24832,COC(C=C(C)CCC=C(C)C)OC,0.0,NR-AR
TOX24839,C=C[Si](OC(=C)C)(OC(=C)C)OC(=C)C,0.0,NR-AR
TOX2605,CC(C)CCON=O,0.0,NR-AR
TOX2062,CC(=O)C(C)C,0.0,NR-AR
TOX18725,CCCCCCCCCCCCCCBr,0.0,NR-AR
TOX899,O=[Mo](=O)=O,0.0,NR-AR
TOX7133,CCOP(=S)(S)OCC,0.0,NR-AR
TOX7137,CCCCCCCC/C=C\CCCCCCCC(N)=O,0.0,NR-AR
TOX7134,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,0.0,NR-AR
TOX1866,CCCCOC(=O)CCCCC(=O)OCCCC,0.0,NR-AR
TOX325,C[N+](C)(C)CCO,0.0,NR-AR
TOX326,O=[Cr]O[Cr]=O,0.0,NR-AR
TOX327,[Cr+3],0.0,NR-AR
TOX7544,CC=CC(=O)O,0.0,NR-AR
TOX21256,OCCCCCO,0.0,NR-AR
TOX27527,CCCCCCCCCCCC(=O)OCC(C)OC(=O)CCCCC(=O)O,0.0,NR-AR
TOX6224,COCCOCCOCCOC,0.0,NR-AR
TOX2886,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.0,NR-AR
TOX26411,CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,0.0,NR-AR
TOX22254,CCCCCCCCCCCCCCCC(=O)NCCO,0.0,NR-AR
TOX27093,CCCCCC#CC(=O)OC,0.0,NR-AR
TOX1277,C/C=C/C=C/C(=O)O,1.0,NR-AR
TOX2956,CCN(CC)C(=S)[S-],0.0,NR-AR
TOX9062,CCC(OCCCOC)OC(C)=O,0.0,NR-AR
TOX7304,C[Sn](C)(Cl)Cl,0.0,NR-AR
TOX7308,CCCCC(CC)C(=O)Cl,0.0,NR-AR
TOX7309,CCOCCC(=O)OCC,0.0,NR-AR
TOX27408,COC(=O)CC(C)CCC=C(C)C,0.0,NR-AR
TOX664,OCC(O)CCl,0.0,NR-AR
TOX24389,COC(C)(C)CCO,0.0,NR-AR
TOX662,OCC(O)CO,0.0,NR-AR
TOX9683,O=S(=O)(O)O,0.0,NR-AR
TOX9688,[Fe+2],0.0,NR-AR
TOX6432,CC(C)(C)C(=O)O,0.0,NR-AR
TOX6436,CC(C)(CO)[N+](=O)[O-],0.0,NR-AR
TOX5220,CCCCCCCCCCCCS,0.0,NR-AR
TOX3101,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,0.0,NR-AR
TOX12537,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,0.0,NR-AR
TOX6880,CC(=O)OCCOC(C)=O,0.0,NR-AR
TOX6881,CCCCCCCCCCCCCCCCCC(=O)OCCO,0.0,NR-AR
TOX6882,CCCCCCCC,0.0,NR-AR
TOX6889,CCCCCCCCCCCC(=O)OC,0.0,NR-AR
TOX9619,N#C[S-],0.0,NR-AR
TOX1340,CC(N)=S,0.0,NR-AR
TOX29273,CCCCCCCCCCCCCCCCI,0.0,NR-AR
TOX29275,CCC(C)(C)CC,0.0,NR-AR
TOX29279,C=CCCC=C,0.0,NR-AR
TOX4370,CC(C)CC(C)(C)C,0.0,NR-AR
TOX4376,CCCSC(=O)N(CCC)CCC,0.0,NR-AR
TOX1413,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,0.0,NR-AR
TOX4014,ClC(Cl)(Br)Br,0.0,NR-AR
TOX21440,CCC(C)COC(=O)CC(C)C,0.0,NR-AR
TOX27134,CC=CC(=O)CCCC,0.0,NR-AR
TOX27132,CSCCCN=C=S,0.0,NR-AR
TOX5427,CC(C)(O)C#N,0.0,NR-AR
TOX5425,NO,0.0,NR-AR
TOX5424,[NH3+]O.[NH3+]O,0.0,NR-AR
TOX5423,NCCNCCO,0.0,NR-AR
TOX3734,CCCC(CCC)C(N)=O,0.0,NR-AR
TOX1427,CCOC(N)=O,0.0,NR-AR
TOX1426,NC(N)=O,0.0,NR-AR
TOX9210,CCCC[Sn](Cl)(Cl)Cl,0.0,NR-AR
TOX9217,CCCOCC(C)O,1.0,NR-AR
TOX24818,CCCCCCC(CO)CCCC,0.0,NR-AR
TOX24812,COC(C)CCO,0.0,NR-AR
TOX28513,CC(C)(S)C(=O)N[C@@H](CS)C(=O)O,0.0,NR-AR
TOX24815,CCCCOC(=O)CCCCCCCC(=O)OCCCC,0.0,NR-AR
TOX4442,C=CCBr,0.0,NR-AR
TOX4447,C=CCOC(=O)CCCCCCCC,0.0,NR-AR
TOX4448,C=CCSSCCC,0.0,NR-AR
TOX4449,C=CCNC(N)=S,0.0,NR-AR
TOX7113,CC(C)C(O)C(C)(C)CO,0.0,NR-AR
TOX24760,Cl[Nd](Cl)Cl,0.0,NR-AR
TOX7388,CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C,0.0,NR-AR
TOX21270,CC(=O)OCCC(C)CC(C)(C)C,0.0,NR-AR
TOX340,[Co+2],0.0,NR-AR
TOX21275,CCCCCCCCCCCC(=O)OCC(O)CO,0.0,NR-AR
TOX345,CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Cu+2],0.0,NR-AR
TOX1653,CCCCC=O,0.0,NR-AR
TOX1654,O=C(O)CCCC(=O)O,0.0,NR-AR
TOX5279,C=C(C#N)C(=O)OCC,0.0,NR-AR
TOX20656,CC(C)C(Br)C(=O)NC(N)=O,0.0,NR-AR
TOX26051,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,0.0,NR-AR
TOX7328,O=S(=O)([O-])CO,0.0,NR-AR
TOX7329,C=CCCCCCCCC,0.0,NR-AR
TOX24489,CC(=O)C(Cl)C(=O)N(C)C,0.0,NR-AR
TOX13649,COC(=O)CC#N,0.0,NR-AR
TOX24484,CC(C)CCCCCCN,0.0,NR-AR
TOX24486,CC(C)NC(=O)NC(C)C,0.0,NR-AR
TOX17734,CCCCCCCCCCCCCCC(Br)C(=O)O,0.0,NR-AR
TOX24375,C=CCOCC(O)CO,0.0,NR-AR
TOX7386,C=CC(=O)OCCCCCCCC(C)C,0.0,NR-AR
TOX24378,CCCCC(CC)COC(=O)CC#N,0.0,NR-AR
TOX6183,CCCCN(CCCC)CCCC,0.0,NR-AR
TOX2743,O=NN(CCCl)C(=O)NCCCl,0.0,NR-AR
TOX6450,CCO[Si](OCC)(OCC)OCC,0.0,NR-AR
TOX5113,CC(C)CC(C)N,0.0,NR-AR
TOX12516,CCCCCCCCSCCO,0.0,NR-AR
TOX423,O=C/C(Cl)=C(/Cl)C(=O)O,0.0,NR-AR
TOX428,O=C(O)C(Cl)Cl,0.0,NR-AR
TOX1980,CCCCCC(=O)OCC,0.0,NR-AR
TOX1982,CCCCOC(C)=O,0.0,NR-AR
TOX1984,CCCCCCCCCCCCN,0.0,NR-AR
TOX1986,CCCCOP(=O)(OCCCC)OCCCC,0.0,NR-AR
TOX7916,CCC(C)(CCC(C)C)C(=O)O,0.0,NR-AR
